generation avg_fitness min_fitness max_fitness
190 17.8454 5.34669 25.3708
191 17.8614 4.29804 24.5502
192 18.2194 5.82053 24.9088
193 17.2566 3.89062 25.6567
194 16.9683 4.97331 24.7538
195 16.9387 3.8321 24.974
196 16.8509 5.74994 25.348
197 17.9187 6.83925 24.7236
198 17.5528 8.83938 25.8839
199 17.645 5.69825 25.6849
200 17.3352 5.00555 25.1641
201 17.7862 8.12605 26.3126
202 17.4703 4.09039 26.5026
203 18.3547 6.55859 25.9848
204 17.7939 5.1657 26.878
205 17.3637 4.0963 25.5732
206 17.6738 5.85654 25.8154
207 17.3048 3.29556 25.7011
208 17.3227 3.92006 24.5325
209 16.7818 4.48532 25.4118
210 16.4808 4.68263 24.0309
211 17.6378 6.98165 26.5534
212 17.4634 4.08474 24.1812
213 17.1873 4.1254 25.7652
214 17.052 4.65462 25.6538
215 16.8443 0.652547 24.8444
216 16.6113 7.62042 24.8023
217 16.6268 2.88008 23.8987
218 17.3354 6.17444 25.1646
219 16.6 4.23915 25.4708
220 16.6456 5.17358 25.7721
221 17.5263 5.31422 25.4632
222 17.8803 6.16683 26.4314
223 17.7614 5.94824 26.4314
224 17.4687 3.70814 25.4159
225 17.8868 6.40212 26.5587
226 17.9929 6.87549 25.6513
227 18.4208 8.02353 25.7661
228 18.0639 2.58274 27.0873
229 17.5945 6.04567 26.6777
230 18.2439 7.07429 25.6545
231 17.5072 7.41039 25.1204
232 17.6612 5.76367 24.156
233 17.4126 6.81846 24.8702
234 17.3127 4.01093 26.2778
235 17.3668 4.9188 26.5943
236 18.3237 5.26445 27.0131
237 18.2429 5.42964 27.7692
238 18.4976 7.23625 26.596
239 18.8006 8.88539 26.9033
240 18.2073 8.41375 26.6857
241 19.037 7.65541 27.7665
242 18.8412 5.58753 28.274
243 19.419 6.56278 28.0898
244 18.8708 5.73942 26.8909
245 18.2005 4.29079 25.8533
246 18.3628 7.63298 26.2385
247 18.4445 7.0042 25.6895
248 18.4735 6.82901 25.4556
249 18.2524 3.58841 27.0291
250 17.2777 3.47024 27.1242
251 17.903 7.24 27.0291
252 17.6874 6.55986 27.0639
253 17.6833 7.84631 26.619
254 17.783 2.20748 26.4377
255 18.1506 4.53503 26.4438
256 17.6625 4.71063 26.3376
