generation avg_fitness min_fitness max_fitness
191 18.0129 6.8459 26.8445
192 18.5889 7.59786 26.4536
193 18.5757 8.20738 28.2663
194 19.0769 4.41413 25.6363
195 18.9207 3.7366 26.4543
196 18.6015 8.98626 27.429
197 18.3921 6.78703 26.8228
198 19.5773 5.352 26.8228
199 19.3207 7.56058 26.7128
200 19.3556 4.63593 27.2841
201 19.3372 8.268 26.6363
202 19.1665 7.48616 26.9096
203 19.4934 6.75917 27.2422
204 19.2505 5.62807 26.2816
205 18.7409 7.7116 27.0658
206 18.3656 5.60612 25.2607
207 18.525 8.17937 27.5035
208 18.1688 6.14662 26.3092
209 18.4491 7.50878 26.2936
210 18.6499 6.6627 27.6566
211 18.8665 6.85468 26.3201
212 18.8325 9.34298 27.4797
213 18.6988 9.5259 26.3858
214 19.2203 5.0907 26.1641
215 18.5521 4.60568 26.5793
216 18.88 8.66691 25.9709
217 18.6697 8.65458 26.8317
218 19.2169 7.786 26.1564
219 19.0596 6.80514 26.8605
220 19.1845 5.55489 28.3951
221 19.1312 4.21964 26.9259
222 17.8638 3.29771 27.7666
223 18.7199 5.00564 25.5997
224 18.6766 6.19452 27.198
225 19.2284 8.12305 27.772
226 19.3133 7.8427 25.9681
227 19.2105 6.13209 27.3655
228 19.6406 6.6961 28.3929
229 18.9058 7.47028 27.772
230 18.2344 5.1433 27.6642
231 18.3115 5.70023 26.1105
232 18.37 8.74039 28.7338
233 18.2132 7.7884 26.4818
234 17.8631 6.46054 26.9775
235 19.0295 8.31349 27.9628
236 19.4436 6.19137 27.7008
237 19.0025 7.9312 28.6093
238 19.5102 7.4306 28.1836
239 19.4952 6.01202 28.2344
240 20.6555 9.16096 28.7294
241 21.2464 8.6892 27.1122
242 20.5581 9.68208 27.6173
243 20.6962 9.02855 28.1126
244 19.9925 7.54321 28.1836
245 20.5675 11.4268 28.155
246 19.5665 6.81638 28.1752
247 19.7846 7.25727 27.1067
248 19.3869 6.39998 28.8133
249 19.9038 6.16109 28.8166
250 19.1722 8.43636 27.2594
251 19.2711 6.04995 26.0138
252 18.5874 6.91483 26.1575
253 19.3323 6.24091 25.8332
254 18.4981 6.15385 26.833
255 17.8927 6.16669 26.0788
256 18.3147 8.26906 25.5929
