generation avg_fitness min_fitness max_fitness
1 12.5352 8.90204 17.8317
2 13.871 9.20175 21.3445
3 15.5633 7.70177 23.0844
4 16.0976 7.0846 22.8085
5 15.5609 2.10646 24.002
6 15.803 7.95057 22.9104
7 15.953 6.21214 22.5596
8 16.3702 9.43415 22.0609
9 15.4845 8.05237 23.5119
10 16.0544 3.84617 23.9953
11 14.6074 2.12565 22.412
12 14.6229 2.39903 22.412
13 14.8825 2.83469 22.3058
14 15.1809 7.90899 22.4597
15 15.1311 3.19581 21.5712
16 15.0104 7.67519 23.054
17 16.3795 9.90594 24.2194
18 15.7916 3.83521 22.9288
19 15.9551 7.13498 22.2302
20 15.157 5.08854 21.7224
21 15.3707 7.75181 23.1637
22 14.7636 5.8206 23.6516
23 14.5129 5.54824 23.4939
24 14.551 5.37832 22.6901
25 16.0105 6.36569 23.5267
26 15.2365 5.28204 24.4033
27 15.8861 5.36233 23.8819
28 15.6536 6.54386 22.1705
29 15.2372 6.43976 25.5132
30 15.0931 1.96828 24.0194
31 16.1689 3.87067 22.8711
32 14.931 3.12257 22.9029
33 13.3915 1.16625 22.9926
34 15.0998 1.38747 21.3327
35 15.5589 1.63284 22.1518
36 15.8563 6.51899 22.8261
37 15.9937 2.43552 22.8096
38 16.1978 3.61422 22.9883
39 15.9717 8.95651 23.7067
40 15.3856 3.20863 24.9679
41 17.2236 7.83446 23.8996
42 16.67 3.60783 23.2159
43 16.742 11.2012 23.342
44 16.3992 3.07642 24.062
45 16.7832 3.81471 24.6994
46 16.1653 3.5226 24.5507
47 16.5785 3.34994 24.5507
48 16.2605 2.34257 24.5507
49 15.4391 8.57919 24.5507
50 15.8914 3.61436 24.5507
51 16.493 2.92126 24.5507
52 15.7097 1.16793 23.1894
53 15.9514 6.83653 23.1987
54 16.2605 5.30656 24.2424
55 16.8982 7.3341 24.8528
56 17.9062 10.9507 23.7528
57 16.8751 4.46994 26.0752
58 16.6771 3.89034 22.6458
59 16.9872 5.09167 23.9944
60 16.2782 3.00566 23.2675
61 15.3477 5.87771 24.949
62 15.5374 7.88374 23.1559
63 15.2529 2.94103 25.6576
64 15.7287 3.77132 25.1775
65 14.0202 4.89012 22.9894
66 14.453 5.71353 21.1649
67 15.2226 5.24679 22.1191
68 15.653 1.63284 23.5087
69 14.2309 2.43552 22.2376
70 14.6331 2.11761 24.2152
71 15.0197 5.09524 24.7259
72 14.5872 4.48083 24.954
73 15.3273 5.10487 24.8453
74 17.2945 5.96359 26.1503
75 16.8584 5.68772 26.1503
76 17.1354 4.18406 24.8453
77 17.8987 4.0763 26.8834
78 16.2294 3.99075 22.9373
79 17.1254 7.60551 23.7405
80 16.0307 1.35506 24.0337
81 17.9391 6.63737 24.6658
82 18.4068 11.8646 24.284
83 17.7973 8.11397 24.0276
84 17.2939 6.07871 24.4516
85 15.5398 2.40285 22.5294
86 16.9936 4.8186 25.3041
87 16.596 4.72169 26.2513
88 16.498 3.94215 23.4713
