generation avg_fitness min_fitness max_fitness
1 12.9038 8.40505 18.0015
2 14.1107 3.40679 22.4069
3 15.2916 7.27392 22.7755
4 15.4192 1.38879 22.895
5 16.1761 7.96923 23.5951
6 16.2745 5.91758 24.1673
7 16.1883 4.42856 23.8273
8 16.3098 3.9316 24.2874
9 16.2177 6.89038 23.6005
10 16.1467 6.13554 22.616
11 15.4839 8.07433 22.551
12 15.8502 2.40018 24.4721
13 15.4102 7.76133 25.3792
14 15.4603 2.31631 25.4878
15 15.5085 3.38498 23.7243
16 16.0689 0.954721 23.7079
17 15.3421 4.44947 23.0853
18 15.7914 0.941819 24.7835
19 15.9788 2.72497 24.0748
20 16.5203 3.58308 24.7982
21 16.557 7.64066 24.2198
22 16.4377 3.88416 24.9102
23 16.232 4.28869 24.9864
24 16.3399 2.45112 23.6322
25 16.5386 2.57119 25.2441
26 16.6266 2.87842 25.167
27 16.3122 6.39393 25.5288
28 16.6931 7.1227 25.5509
29 17.081 3.84761 25.7008
30 17.6488 7.493 25.4042
31 15.9898 2.55068 25.2043
32 16.6455 7.7309 24.3302
33 16.5455 5.1146 24.434
34 15.9652 3.12557 23.9272
35 15.4314 3.77842 24.0319
36 15.8273 1.72211 23.9272
37 16.6969 6.89962 24.0745
38 16.2085 7.55828 25.5836
39 15.9347 5.90286 24.7263
40 16.2687 3.76133 23.4988
41 16.6458 2.38801 23.3574
42 16.3276 0.759901 25.7885
43 16.4724 1.61286 24.2742
44 15.7827 3.71107 23.4624
45 16.165 5.91932 25.4373
46 16.452 6.65152 25.2797
47 16.3448 5.37357 25.658
48 16.1011 3.65379 23.2782
49 16.1657 4.3698 22.9576
50 15.7776 1.45237 23.798
51 15.9386 4.07709 23.798
52 15.8801 3.07495 23.8152
53 15.4753 5.77572 23.5986
54 16.0907 2.52114 23.2862
55 16.9471 7.64317 24.963
56 17.2485 2.74476 24.3592
57 16.8199 4.64265 23.9208
58 16.3831 5.93151 24.2821
59 16.1871 2.54 24.4491
60 15.8657 1.13454 24.7563
61 16.2679 5.27112 23.9585
62 15.7021 1.3766 25.0983
63 16.4008 3.4391 24.843
64 15.6756 6.31769 24.7662
65 15.7667 1.48484 24.6677
66 16.3731 5.31655 24.0022
67 15.7755 6.19967 22.8594
68 16.0799 4.80206 23.9529
69 15.8232 1.20041 22.2003
70 15.9148 2.01931 24.964
71 15.9416 5.11027 26.8209
72 16.0185 4.00991 25.7798
73 15.5622 1.07304 25.1093
74 15.8542 1.70732 24.3946
75 15.0733 4.3438 23.8307
76 15.3279 3.51421 24.4334
77 15.962 0.627732 23.325
78 16.0735 6.19031 25.6757
79 15.6196 3.88396 24.7231
80 15.7282 3.20591 24.6891
81 15.9172 2.00934 24.5543
82 14.7832 2.49369 24.5318
83 15.7075 5.39023 25.4251
84 15.8393 1.10567 24.7989
85 16.3394 3.58653 26.5378
86 16.778 3.36907 25.1951
87 16.3035 5.17204 25.7304
88 16.3721 3.47246 25.3744
89 16.7606 6.02914 25.4904
90 16.4787 2.75047 25.2347
91 15.3137 1.48557 26.4699
92 15.9005 5.9887 25.8665
93 16.349 3.50197 26.9319
94 16.7628 2.43551 26.9319
95 16.5092 4.19373 24.3212
96 15.0076 0.989041 24.4118
97 15.4489 0.793453 24.1185
98 15.8267 4.89529 24.4484
99 15.1731 3.87801 23.0597
100 15.6393 2.03414 25.5277
101 14.9136 1.96576 25.0129
102 16.0409 1.45381 24.3231
103 16.1771 4.2325 24.7875
104 16.1616 0.773759 24.3493
105 15.7894 3.21758 24.4467
106 15.1732 3.88416 25.7315
107 15.839 4.44435 25.4535
108 15.2799 2.11904 25.3985
109 15.8807 2.98295 25.6919
110 15.0967 1.49621 25.5544
111 15.6592 2.37012 23.1623
112 16.1099 2.70373 23.041
