generation avg_fitness min_fitness max_fitness
1 12.8789 6.04985 18.3343
2 14.437 4.71899 22.1858
3 15.4565 4.56732 23.4684
4 15.9544 1.46463 24.3817
5 15.6955 2.51751 24.82
6 16.059 3.27143 24.9628
7 15.7132 1.223 24.7113
8 15.7982 1.354 24.8565
9 15.4406 1.13559 26.0556
10 15.8276 1.45075 25.0059
11 15.9857 1.90303 24.3116
12 15.8834 1.47106 25.7303
13 15.4601 1.1382 24.2295
14 15.4796 0.627732 25.2121
15 15.6255 2.26296 25.2298
16 15.5294 1.69757 24.7222
