generation avg_fitness min_fitness max_fitness
1 12.5679 4.90368 19.684
2 13.9868 4.97051 23.4349
3 15.4341 3.21581 23.4349
4 16.0749 1.48936 24.3923
5 16.1009 2.47646 24.8324
6 16.1988 4.9637 24.2337
7 16.2903 4.83337 25.1148
8 16.2805 4.13613 25.5453
9 16.2357 1.46819 24.8959
10 16.3828 3.25238 25.8443
11 16.0283 2.61578 25.7657
12 16.3392 4.32662 24.5289
13 16.3253 3.55364 25.7122
14 16.1572 1.37965 25.2736
15 16.1284 3.57429 26.4138
16 15.9326 0.87416 25.4973
17 16.1579 5.03584 26.2868
18 16.0711 1.70822 23.973
19 15.9634 1.97577 25.541
20 16.3519 3.62187 25.0383
21 16.2676 1.84165 26.3919
22 16.6386 2.60906 25.4986
23 16.3241 2.30722 25.8477
24 16.341 2.29139 25.1269
25 16.2664 0.820179 26.2614
26 16.1231 2.3224 25.9311
27 16.1648 2.17088 26.4901
28 16.4591 2.59791 25.6582
29 16.8781 2.22401 25.817
30 16.5866 2.54962 25.3964
31 16.3576 3.49479 25.8344
32 16.159 2.10041 25.7415
33 16.3419 2.38784 26.345
34 16.4015 1.7521 25.1064
35 15.8858 2.07719 25.1732
36 16.1522 2.07719 26.9276
37 16.3285 2.86233 24.7321
38 15.713 1.46816 26.1045
39 15.5926 2.25533 24.5884
40 16.1543 0.641922 25.8725
41 16.1053 1.93514 25.2712
42 16.0434 1.71609 25.7245
43 16.4463 0.79424 26.5843
44 16.1646 2.47046 24.5847
45 16.3472 1.30858 25.5842
46 16.4544 1.0338 26.4582
47 16.2951 4.7246 26.0179
48 16.3579 2.96031 25.1409
49 16.3347 1.48636 24.8859
50 16.0278 0.79424 24.6293
51 16.1238 3.88184 26.6946
52 15.613 1.17914 26.1106
53 15.7238 3.853 26.3911
54 15.9033 2.20492 24.7799
55 15.8284 2.12046 25.3904
56 15.8996 1.48636 26.1343
57 16.1136 2.38633 25.1127
58 15.8818 1.13708 25.1634
59 16.297 0.627732 24.8064
60 15.9997 3.77273 24.6994
61 15.4521 0.813333 24.1266
62 16.0463 1.4322 25.7028
63 15.7706 1.16625 26.4253
64 15.583 0.661763 26.5946
65 16.1176 0.79424 24.7243
66 15.9741 1.7456 25.2169
67 16.0565 3.59886 24.7923
68 15.8322 2.70732 25.878
69 15.9424 0.704417 24.2593
70 15.9541 1.8412 25.7677
71 15.8277 2.00299 27.0199
72 15.6282 1.64745 25.6698
73 15.8628 2.70245 24.8735
74 15.5636 1.63215 25.6601
75 15.708 0.877347 24.3277
76 15.3753 0.809575 24.6463
77 14.8608 0.897201 25.1231
78 15.5346 1.56516 25.7407
79 15.6568 0.80713 24.3372
80 16.0371 3.63171 26.3191
81 16.0568 1.45237 25.4656
82 16.3008 1.01096 25.4656
83 16.071 2.05897 25.3217
84 16.4403 4.56997 26.0082
85 16.1529 2.36847 26.0082
86 16.573 1.7321 26.1261
87 16.4018 3.7041 25.3968
88 16.3065 2.89712 26.249
89 16.2382 3.4896 25.2496
90 16.1517 1.15248 26.7933
91 16.1739 1.73644 24.9197
92 16.209 2.3184 24.8504
93 16.146 2.28808 25.2665
94 15.87 3.27055 24.6554
95 16.0326 2.43214 27.45
96 15.8264 1.34234 25.4321
97 16.1645 1.35536 25.0457
98 16.1272 0.627732 25.5619
99 16.2639 4.01547 26.0538
100 16.0878 2.58154 25.541
101 16.2312 2.37889 25.998
102 15.8516 1.13826 28.1913
103 15.7787 0.760791 25.2355
104 15.8221 1.16625 24.7647
105 15.8111 2.01944 26.3821
106 15.9432 0.951533 26.3175
107 15.9843 1.48636 27.4866
108 15.6994 3.87374 25.399
109 16.2799 1.65797 25.0533
110 15.9639 2.23938 25.1253
111 15.8185 1.48936 24.7577
112 15.9541 1.7486 25.1775
113 15.6225 2.27893 24.8015
114 15.5618 2.97409 25.0769
115 15.3606 3.06627 25.287
116 15.302 0.79424 24.5372
117 15.7381 2.09941 25.7435
118 15.7212 2.43819 26.0435
119 15.8086 1.02624 26.2695
120 16.0526 1.67458 27.4454
121 15.7764 1.13658 24.9406
122 15.4571 1.61169 26.8183
123 15.5055 2.17873 24.9398
124 15.9108 3.47624 24.9843
125 16.1149 0.811412 25.8945
126 16.0327 1.7486 26.5949
127 15.9305 1.13424 24.6681
128 16.1508 1.29796 26.4583
129 16.0499 1.63682 24.8364
130 15.9678 3.14321 24.3988
131 15.9353 1.75727 24.1205
132 15.664 2.09562 24.7811
133 16.014 5.56707 24.5171
134 16.0044 2.43214 26.4835
135 15.6678 1.45381 24.1927
136 15.8267 1.78619 24.9858
137 15.987 1.16625 26.8453
